analysis,stage,feature_family,weighting,estimand,estimate,ci_low,ci_high,valid_bootstraps,n_labs,n_participants,n_positive,n_negative,n_within_pairs
site_only_participant_prevalence,NREM,No EEG features,participant_equal,within_pair_weighted_fold_conditioned,0.5,0.5,0.5,2000,4,117,470,260,37441
eeg_model,REM,Catch22 broadband (published),record,pooled,0.5954950289975145,0.5252768626532645,0.6611221129610779,2000,4,87,284,51,4344
eeg_model,REM,Catch22 broadband (published),record,site_macro,0.3985647389731284,0.34402667535779596,0.5214464237741773,2000,4,87,284,51,4344
eeg_model,REM,Catch22 broadband (published),record,within_pair_weighted,0.4745568600368324,0.391375959310537,0.5588878323402241,2000,4,87,284,51,4344
eeg_model,REM,Catch22 broadband (published),record,site_macro_fold_conditioned,0.44532189773717273,0.386177861058688,0.5567878941734468,2000,4,87,284,51,4344
eeg_model,REM,Catch22 broadband (published),record,within_pair_weighted_fold_conditioned,0.5134458276599884,0.41982048014774365,0.6013586980246644,2000,4,87,284,51,4344
eeg_model,REM,Catch22 broadband (published),participant_equal,pooled,0.546550637004345,0.46148227560648397,0.6318080310872156,2000,4,87,284,51,4344
eeg_model,REM,Catch22 broadband (published),participant_equal,site_macro,0.3949023720883452,0.33769547025345137,0.516743342715038,2000,4,87,284,51,4344
eeg_model,REM,Catch22 broadband (published),participant_equal,within_pair_weighted,0.4876344216106101,0.3878196140794401,0.5883799168162164,2000,4,87,284,51,4344
eeg_model,REM,Catch22 broadband (published),participant_equal,site_macro_fold_conditioned,0.4313407404205144,0.3718542210919596,0.5484275124355649,2000,4,87,284,51,4344
eeg_model,REM,Catch22 broadband (published),participant_equal,within_pair_weighted_fold_conditioned,0.5176294033320237,0.4200013290786923,0.6188557077941192,2000,4,87,284,51,4344
eeg_model,REM,Catch22 filtered (adapted),record,pooled,0.6285711819939244,0.5666714230004412,0.7013796376685023,2000,4,87,284,51,4344
eeg_model,REM,Catch22 filtered (adapted),record,site_macro,0.4976758035539447,0.439272445379614,0.5948199348870181,2000,4,87,284,51,4344
eeg_model,REM,Catch22 filtered (adapted),record,within_pair_weighted,0.49775552486187846,0.4400832714444857,0.5762700441904964,2000,4,87,284,51,4344
eeg_model,REM,Catch22 filtered (adapted),record,site_macro_fold_conditioned,0.5553512775897973,0.5021981238793022,0.6442395375168892,2000,4,87,284,51,4344
eeg_model,REM,Catch22 filtered (adapted),record,within_pair_weighted_fold_conditioned,0.551667963431239,0.5011034624963405,0.6430409305649698,2000,4,87,284,51,4344
eeg_model,REM,Catch22 filtered (adapted),participant_equal,pooled,0.652739855120849,0.5632909589870042,0.7311908810649941,2000,4,87,284,51,4344
eeg_model,REM,Catch22 filtered (adapted),participant_equal,site_macro,0.5142493408015152,0.45057866917826084,0.5985762407598321,2000,4,87,284,51,4344
eeg_model,REM,Catch22 filtered (adapted),participant_equal,within_pair_weighted,0.5570592189558499,0.45089546478759057,0.6654133569382882,2000,4,87,284,51,4344
eeg_model,REM,Catch22 filtered (adapted),participant_equal,site_macro_fold_conditioned,0.5736371439246868,0.5163273080781937,0.6513328637384894,2000,4,87,284,51,4344
eeg_model,REM,Catch22 filtered (adapted),participant_equal,within_pair_weighted_fold_conditioned,0.6011182926940157,0.49626575597469025,0.7022123103292283,2000,4,87,284,51,4344
eeg_model,REM,Log-Euclidean domain alignment,record,pooled,0.5910107705053853,0.5235874132866014,0.6574737692584736,2000,4,87,284,51,4344
eeg_model,REM,Log-Euclidean domain alignment,record,site_macro,0.4913819824538068,0.4108472653086019,0.6065947854392408,2000,4,87,284,51,4344
eeg_model,REM,Log-Euclidean domain alignment,record,within_pair_weighted,0.5123503683241253,0.44151400328627133,0.5780491009828229,2000,4,87,284,51,4344
eeg_model,REM,Log-Euclidean domain alignment,record,site_macro_fold_conditioned,0.5187763033717377,0.44748873401909145,0.609485449559926,2000,4,87,284,51,4344
eeg_model,REM,Log-Euclidean domain alignment,record,within_pair_weighted_fold_conditioned,0.5436199183038319,0.46349293338107095,0.6177593220093759,2000,4,87,284,51,4344
eeg_model,REM,Log-Euclidean domain alignment,participant_equal,pooled,0.5537788980449119,0.4634062310428972,0.6415473754107497,2000,4,87,284,51,4344
eeg_model,REM,Log-Euclidean domain alignment,participant_equal,site_macro,0.5061863961607329,0.4117609171439166,0.6076832941649815,2000,4,87,284,51,4344
eeg_model,REM,Log-Euclidean domain alignment,participant_equal,within_pair_weighted,0.5191545341654724,0.41069152905335826,0.6225952594263147,2000,4,87,284,51,4344
eeg_model,REM,Log-Euclidean domain alignment,participant_equal,site_macro_fold_conditioned,0.5231449812115518,0.44733932674120286,0.5995964156784914,2000,4,87,284,51,4344
eeg_model,REM,Log-Euclidean domain alignment,participant_equal,within_pair_weighted_fold_conditioned,0.5471144951926743,0.4339263494074521,0.653142273249144,2000,4,87,284,51,4344
eeg_model,REM,PSD (published),record,pooled,0.570664181165424,0.5064964313578589,0.6327420698581047,2000,4,87,284,51,4344
eeg_model,REM,PSD (published),record,site_macro,0.4470652366279091,0.3750162737384481,0.5626092476298066,2000,4,87,284,51,4344
eeg_model,REM,PSD (published),record,within_pair_weighted,0.45805709023941066,0.3750929900471085,0.5321085050559125,2000,4,87,284,51,4344
eeg_model,REM,PSD (published),record,site_macro_fold_conditioned,0.4749982836785076,0.40899202584573674,0.5858651704050661,2000,4,87,284,51,4344
eeg_model,REM,PSD (published),record,within_pair_weighted_fold_conditioned,0.49951371328535304,0.4159096661272593,0.5853214269195715,2000,4,87,284,51,4344
